Report_Date,Location,Vegetation_Details,Land_Size(Acres),Season,Species,Stage,Soil_Type,Distribution,GPS_Coordinates
2023-02-14,Mukurweini District,Pasture and Grasslands,281.6322043325502,Short Rains/Wet Season(April-June),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Peat Soil,Paddock Only,"(Decimal('-24.094961'), Decimal('-15.603770'))"
2020-10-31,Eldoret East District,Vegetable Crops,195.68747666585193,Short Rains/Wet Season(April-June),Grasshoppers,Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Entire Field,"(Decimal('-10.3804215'), Decimal('-95.236137'))"
2020-09-08,Bondo District,Vegetable Crops,894.5976366442299,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Adults,Alluvial Soil,Paddock Only,"(Decimal('-53.995782'), Decimal('84.419404'))"
2020-05-21,Nyandarua West District,Vegetable Crops,182.026023432691,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Unknown,Clay Soil,Entire Field,"(Decimal('-7.4585635'), Decimal('173.951788'))"
2023-07-10,Teso North District,Unknown,96.69202740932744,Dry/Cold Season(July-August),Spur Throated Locusts,Adults,Peat Soil,Paddock Only,"(Decimal('-61.7538565'), Decimal('-144.826879'))"
2021-12-06,Kyuso District,Fruit Orchards,440.8730830070705,Dry/Cold Season(July-August),Red locust (Nomadacris septemfasciata),Eggs(Breeding Ground),Loam Soil,Unknown,"(Decimal('-73.8888495'), Decimal('140.136425'))"
2023-07-08,Kajiado North District,Staple Crops,105.72698153145758,Dry/Hot Season(January-March),Unknown,Fledglings(Young Adults),Alluvial Soil,Unknown,"(Decimal('1.9067945'), Decimal('-132.407169'))"
2020-04-13,Samia District,Staple Crops,242.85437386529063,Short Rains/Wet Season(April-June),Tree locust (Anacridium sp.),Eggs(Breeding Ground),Laterite Soil,Entire Field,"(Decimal('-12.4335365'), Decimal('23.498666'))"
2023-04-22,Bungoma West District,Fruit Orchards,469.82941230487336,Wet Season/Long Rains(April-June),Bombay Locust ( Nomadacris succincta),Fledglings(Young Adults),Peat Soil,Paddock Only,"(Decimal('43.070006'), Decimal('-165.140050'))"
2021-05-18,Mt. Elgon District,Staple Crops,470.1342516034002,Dry/Hot Season(January-March),Spur Throated Locusts,Adults,Loam Soil,Unknown,"(Decimal('76.436100'), Decimal('-179.496782'))"
2022-10-24,Kericho District,Vegetable Crops,477.1262133868212,Wet Season/Long Rains(April-June),Grasshoppers,Fledglings(Young Adults),Alluvial Soil,Entire Area,"(Decimal('6.3468085'), Decimal('-83.563550'))"
2022-08-20,Kisumu West District,Vegetable Crops,958.8769999194772,Wet Season/Short Rains(November-December),Red locust (Nomadacris septemfasciata),Hoppers/Nymph(Breeding Ground),Peat Soil,Unknown,"(Decimal('32.017977'), Decimal('-48.713140'))"
2022-11-19,Kangundo District,Staple Crops,665.1542429954949,Short Rains/Wet Season(April-June),Red locust (Nomadacris septemfasciata),Eggs(Breeding Ground),Alluvial Soil,Entire Area,"(Decimal('-51.6976655'), Decimal('-49.218030'))"
2024-05-21,Maara District,Vegetable Crops,387.99898737310076,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Fledglings(Young Adults),Loose Sandy Soil,Entire Field,"(Decimal('89.6552365'), Decimal('-140.166284'))"
2021-11-10,Kericho District,Fruit Orchards,486.43031411668903,Dry/Warm Season(September-October),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Peat Soil,Entire Area,"(Decimal('19.326509'), Decimal('-80.914567'))"
2020-03-22,Bungoma South District,Fruit Orchards,58.25953819800661,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Clay Soil,Unknown,"(Decimal('-87.546337'), Decimal('43.867410'))"
2021-08-31,Mirangini District,Pasture and Grasslands,716.015453157645,Wet Season/Long Rains(April-June),Red locust (Nomadacris septemfasciata),Adults,Loam Soil,Entire Field,"(Decimal('36.298452'), Decimal('-120.738146'))"
2023-12-03,Rongo District,Vegetable Crops,971.3505793081829,Wet Season/Long Rains(April-June),Spur Throated Locusts,Hoppers/Nymph(Breeding Ground),Unknown,Entire Area,"(Decimal('37.174621'), Decimal('124.973694'))"
2022-09-26,Laikipia West District,Staple Crops,966.5232833842522,Dry/Warm Season(September-October),Grasshoppers,Eggs(Breeding Ground),Unknown,Paddock Only,"(Decimal('-26.9775495'), Decimal('-10.911733'))"
2021-07-22,Buret District,Vegetable Crops,196.19460712572746,Dry/Hot Season(January-March),Spur Throated Locusts,Fledglings(Young Adults),Unknown,Paddock Only,"(Decimal('84.683308'), Decimal('102.404946'))"
2024-05-01,Nyamira North District,Unknown,426.62759049438637,Dry/Hot Season(January-March),Spur Throated Locusts,Fledglings(Young Adults),Laterite Soil,Entire Field,"(Decimal('38.223949'), Decimal('52.528571'))"
2020-01-01,Manga District,Fruit Orchards,183.9674201922956,Dry/Hot Season(January-March),Grasshoppers,Adults,Loam Soil,Unknown,"(Decimal('23.1082845'), Decimal('-134.285209'))"
2020-03-15,Muranga East District,Vegetable Crops,23.22404577856795,Dry/Warm Season(September-October),Migratory locust (Locusta migratoria),Unknown,Laterite Soil,Paddock Only,"(Decimal('55.0358025'), Decimal('-34.408709'))"
2023-04-29,Eldoret West District,Unknown,251.41430779123684,Dry/Hot Season(January-March),Bombay Locust ( Nomadacris succincta),Adults,Alluvial Soil,Entire Area,"(Decimal('54.6082625'), Decimal('128.095397'))"
2023-11-13,Muranga South District,Unknown,565.0923636000169,Dry/Warm Season(September-October),Unknown,Hoppers/Nymph(Breeding Ground),Unknown,Unknown,"(Decimal('-78.5741855'), Decimal('154.329410'))"
2020-04-08,Bomet District,Pasture and Grasslands,221.82788877360434,Wet Season/Short Rains(November-December),Red locust (Nomadacris septemfasciata),Eggs(Breeding Ground),Loose Sandy Soil,Paddock Only,"(Decimal('-24.4013945'), Decimal('6.208205'))"
2023-12-30,Laikipia West District,Fruit Orchards,842.2726282487145,Dry/Hot Season(January-March),Grasshoppers,Adults,Clay Soil,Entire Field,"(Decimal('67.2410595'), Decimal('113.819410'))"
2021-09-20,Matungulu District,Fruit Orchards,365.4789369908307,Wet Season/Short Rains(November-December),Spur Throated Locusts,Unknown,Clay Soil,Entire Area,"(Decimal('18.645260'), Decimal('-52.192202'))"
2020-01-20,Kaloleni District,Vegetable Crops,728.3546908260478,Wet Season/Long Rains(April-June),Bombay Locust ( Nomadacris succincta),Unknown,Alluvial Soil,Entire Field,"(Decimal('-18.3371695'), Decimal('46.236851'))"
2022-09-01,Nyeri East District,Pasture and Grasslands,690.8092958750307,Wet Season/Long Rains(April-June),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Laterite Soil,Paddock Only,"(Decimal('9.601900'), Decimal('59.733926'))"
2022-02-04,Keiyo District,Unknown,363.1473206571183,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Fledglings(Young Adults),Alluvial Soil,Entire Area,"(Decimal('6.777673'), Decimal('-81.151112'))"
2020-12-18,Mbooni West District,Pasture and Grasslands,526.9072111710227,Dry/Hot Season(January-March),Grasshoppers,Adults,Unknown,Unknown,"(Decimal('76.729087'), Decimal('5.414634'))"
2020-08-17,Mutomo District,Pasture and Grasslands,614.2614894587782,Wet Season/Long Rains(April-June),Tree locust (Anacridium sp.),Adults,Loam Soil,Entire Field,"(Decimal('6.8154265'), Decimal('-0.814302'))"
2023-03-22,Laikipia East District,Staple Crops,576.9120313504143,Wet Season/Long Rains(April-June),Bombay Locust ( Nomadacris succincta),Fledglings(Young Adults),Peat Soil,Unknown,"(Decimal('-19.3352915'), Decimal('-121.826237'))"
2020-04-15,Laikipia Central District,Staple Crops,197.18636260027105,Dry/Cold Season(July-August),Desert Locusts(Schistocerca gregaria),Adults,Loam Soil,Entire Field,"(Decimal('30.686813'), Decimal('89.771604'))"
2023-06-18,Wareng District,Staple Crops,524.1688696157238,Wet Season/Short Rains(November-December),Unknown,Adults,Loose Sandy Soil,Entire Field,"(Decimal('83.064372'), Decimal('-78.012719'))"
2024-04-23,Wajir West District,Staple Crops,161.9832041950734,Short Rains/Wet Season(April-June),Spur Throated Locusts,Unknown,Unknown,Entire Area,"(Decimal('85.396170'), Decimal('163.000547'))"
2020-08-02,Nyandarua Central District,Pasture and Grasslands,552.6760389741924,Short Rains/Wet Season(April-June),Bombay Locust ( Nomadacris succincta),Unknown,Laterite Soil,Entire Field,"(Decimal('31.367457'), Decimal('-26.823905'))"
2024-03-17,Mbooni West District,Unknown,593.892188454812,Wet Season/Short Rains(November-December),Red locust (Nomadacris septemfasciata),Eggs(Breeding Ground),Clay Soil,Entire Field,"(Decimal('46.430414'), Decimal('-155.347350'))"
2023-08-25,Rarieda District,Pasture and Grasslands,710.4916693434245,Wet Season/Short Rains(November-December),Red locust (Nomadacris septemfasciata),Unknown,Loose Sandy Soil,Unknown,"(Decimal('56.9678165'), Decimal('-68.007391'))"
2020-06-21,Githunguri District,Pasture and Grasslands,556.629552905193,Short Rains/Wet Season(April-June),Migratory locust (Locusta migratoria),Eggs(Breeding Ground),Peat Soil,Unknown,"(Decimal('-58.0274055'), Decimal('-179.511101'))"
2024-04-20,Nyandarua South District,Fruit Orchards,229.44912965522192,Wet Season/Long Rains(April-June),Bombay Locust ( Nomadacris succincta),Fledglings(Young Adults),Laterite Soil,Paddock Only,"(Decimal('70.398372'), Decimal('-17.085070'))"
2023-05-19,Kisii South District,Pasture and Grasslands,528.9955870012545,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Adults,Laterite Soil,Entire Field,"(Decimal('-71.245108'), Decimal('10.823860'))"
2020-09-13,Garissa District,Staple Crops,217.383589838473,Dry/Hot Season(January-March),Grasshoppers,Unknown,Loam Soil,Paddock Only,"(Decimal('22.4508915'), Decimal('-0.998294'))"
2024-05-03,Thika East District,Vegetable Crops,499.1645185893327,Short Rains/Wet Season(April-June),Bombay Locust ( Nomadacris succincta),Fledglings(Young Adults),Loose Sandy Soil,Entire Area,"(Decimal('11.191052'), Decimal('154.253406'))"
2020-02-24,Njoro District,Staple Crops,865.1792620430786,Wet Season/Short Rains(November-December),Unknown,Fledglings(Young Adults),Loam Soil,Paddock Only,"(Decimal('52.412593'), Decimal('-12.779625'))"
2021-05-29,Mombasa District,Staple Crops,893.4707726007756,Dry/Cold Season(July-August),Grasshoppers,Adults,Unknown,Unknown,"(Decimal('83.8401025'), Decimal('-158.180362'))"
2023-05-27,Taveta District,Pasture and Grasslands,326.5152809255534,Dry/Warm Season(September-October),Tree locust (Anacridium sp.),Adults,Laterite Soil,Entire Field,"(Decimal('59.9839205'), Decimal('-51.323822'))"
2023-08-26,Homa Bay District,Fruit Orchards,371.1480495254349,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Laterite Soil,Unknown,"(Decimal('-58.278504'), Decimal('-54.231271'))"
2023-01-06,Suba District,Staple Crops,730.7884856481709,Wet Season/Short Rains(November-December),Grasshoppers,Fledglings(Young Adults),Alluvial Soil,Entire Field,"(Decimal('13.665520'), Decimal('93.238409'))"
2022-08-07,Nandi North District,Fruit Orchards,662.0564349597722,Wet Season/Short Rains(November-December),Spur Throated Locusts,Eggs(Breeding Ground),Laterite Soil,Entire Area,"(Decimal('83.2889325'), Decimal('133.427448'))"
2021-03-06,Nandi North District,Fruit Orchards,330.24346298082185,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Eggs(Breeding Ground),Loam Soil,Unknown,"(Decimal('39.083717'), Decimal('126.303036'))"
2022-05-04,Eldoret West District,Staple Crops,870.7991813157745,Dry/Warm Season(September-October),Migratory locust (Locusta migratoria),Hoppers/Nymph(Breeding Ground),Laterite Soil,Unknown,"(Decimal('5.3314815'), Decimal('140.315380'))"
2022-12-17,Kyuso District,Pasture and Grasslands,898.6883034684091,Dry/Warm Season(September-October),Unknown,Adults,Loam Soil,Unknown,"(Decimal('2.406856'), Decimal('-72.263782'))"
2023-11-24,Thika East District,Pasture and Grasslands,465.83618048091336,Wet Season/Long Rains(April-June),Spur Throated Locusts,Fledglings(Young Adults),Unknown,Entire Field,"(Decimal('79.140555'), Decimal('-83.524176'))"
2020-08-27,Kakamega South District,Fruit Orchards,282.12237046394023,Dry/Hot Season(January-March),Grasshoppers,Eggs(Breeding Ground),Loam Soil,Paddock Only,"(Decimal('-51.4663195'), Decimal('65.278425'))"
2020-06-14,Laikipia Central District,Staple Crops,364.22562818915867,Short Rains/Wet Season(April-June),Red locust (Nomadacris septemfasciata),Adults,Unknown,Paddock Only,"(Decimal('29.6491525'), Decimal('-104.642659'))"
2021-02-06,Kakamega North District,Pasture and Grasslands,661.8194103826831,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Unknown,Paddock Only,"(Decimal('-26.975114'), Decimal('153.983501'))"
2020-11-04,Kirinyaga Central District,Staple Crops,399.7241719096247,Dry/Hot Season(January-March),Bombay Locust ( Nomadacris succincta),Eggs(Breeding Ground),Laterite Soil,Unknown,"(Decimal('81.0687685'), Decimal('-116.024013'))"
2020-11-17,Buuri District,Pasture and Grasslands,123.17922546290671,Wet Season/Long Rains(April-June),Desert Locusts(Schistocerca gregaria),Adults,Loam Soil,Entire Field,"(Decimal('14.4825325'), Decimal('-33.792745'))"
2024-05-28,Baringo North District,Unknown,629.4926412097212,Wet Season/Short Rains(November-December),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Clay Soil,Unknown,"(Decimal('-37.4550885'), Decimal('-119.320121'))"
2020-04-28,Turkana Central District,Pasture and Grasslands,830.5338344064085,Wet Season/Long Rains(April-June),Red locust (Nomadacris septemfasciata),Hoppers/Nymph(Breeding Ground),Loam Soil,Entire Area,"(Decimal('-66.1492185'), Decimal('-19.475762'))"
2022-08-18,Molo District,Unknown,682.8955533579802,Dry/Hot Season(January-March),Migratory locust (Locusta migratoria),Adults,Loam Soil,Paddock Only,"(Decimal('54.690877'), Decimal('172.588716'))"
2021-10-10,South Gucha District,Fruit Orchards,855.9849471827147,Wet Season/Long Rains(April-June),Spur Throated Locusts,Unknown,Clay Soil,Entire Area,"(Decimal('28.180338'), Decimal('-121.256342'))"
2021-04-29,Lugari District,Pasture and Grasslands,196.89883249706554,Wet Season/Long Rains(April-June),Unknown,Fledglings(Young Adults),Clay Soil,Unknown,"(Decimal('-78.0986015'), Decimal('141.682558'))"
2022-10-21,Turkana North District,Vegetable Crops,443.3130772220607,Dry/Hot Season(January-March),Desert Locusts(Schistocerca gregaria),Eggs(Breeding Ground),Laterite Soil,Entire Field,"(Decimal('-51.373631'), Decimal('-30.888295'))"
2022-01-19,Meru South District,Vegetable Crops,92.01703899182156,Dry/Hot Season(January-March),Unknown,Fledglings(Young Adults),Laterite Soil,Entire Field,"(Decimal('-19.862566'), Decimal('62.182500'))"
2022-03-25,Matungulu District,Vegetable Crops,345.6831105613368,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Fledglings(Young Adults),Loose Sandy Soil,Entire Field,"(Decimal('9.2725955'), Decimal('84.242756'))"
2023-03-31,Nyando District,Fruit Orchards,865.4982313254079,Wet Season/Short Rains(November-December),Spur Throated Locusts,Hoppers/Nymph(Breeding Ground),Loam Soil,Unknown,"(Decimal('-33.6659655'), Decimal('-32.700283'))"
2023-05-05,Thika West District,Pasture and Grasslands,980.9264013519967,Short Rains/Wet Season(April-June),Red locust (Nomadacris septemfasciata),Unknown,Clay Soil,Entire Area,"(Decimal('-34.682034'), Decimal('72.384538'))"
2020-11-10,Nairobi East District,Vegetable Crops,897.1565833986103,Dry/Warm Season(September-October),Migratory locust (Locusta migratoria),Adults,Peat Soil,Unknown,"(Decimal('5.379017'), Decimal('-89.616058'))"
2021-10-09,Marsabit District,Vegetable Crops,379.67479381182665,Wet Season/Long Rains(April-June),Tree locust (Anacridium sp.),Hoppers/Nymph(Breeding Ground),Peat Soil,Paddock Only,"(Decimal('-19.6807405'), Decimal('-141.274008'))"
2020-04-02,"""""""",Staple Crops,477.12945341225725,Wet Season/Long Rains(April-June),Bombay Locust ( Nomadacris succincta),Eggs(Breeding Ground),Laterite Soil,Entire Field,"(Decimal('57.7142355'), Decimal('170.139316'))"
2022-02-02,Kipipiri District,Vegetable Crops,158.06368780248755,Dry/Warm Season(September-October),Red locust (Nomadacris septemfasciata),Hoppers/Nymph(Breeding Ground),Peat Soil,Paddock Only,"(Decimal('2.181738'), Decimal('-98.950686'))"
2021-01-20,,Pasture and Grasslands,811.7602078660357,Dry/Cold Season(July-August),Tree locust (Anacridium sp.),Unknown,Unknown,Entire Field,"(Decimal('-78.2543275'), Decimal('176.431314'))"
2022-02-18,Nyahururu District,Unknown,160.15766772022033,Wet Season/Long Rains(April-June),Unknown,Eggs(Breeding Ground),Unknown,Entire Area,"(Decimal('-79.0473375'), Decimal('9.653614'))"
2023-01-02,Mukaa District,Unknown,755.602016448325,Dry/Warm Season(September-October),Unknown,Eggs(Breeding Ground),Peat Soil,Paddock Only,"(Decimal('-46.1203955'), Decimal('82.782044'))"
2022-12-11,Keiyo District,Staple Crops,218.71818587289357,Wet Season/Short Rains(November-December),Unknown,Fledglings(Young Adults),Unknown,Unknown,"(Decimal('-2.4547995'), Decimal('66.490607'))"
2022-06-08,Nandi East District,Unknown,378.6921371611027,Dry/Hot Season(January-March),Migratory locust (Locusta migratoria),Fledglings(Young Adults),Unknown,Entire Area,"(Decimal('-3.930892'), Decimal('-144.030711'))"
2023-12-15,Buuri District,Fruit Orchards,653.8466760260269,Dry/Warm Season(September-October),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Loam Soil,Entire Area,"(Decimal('-15.1521345'), Decimal('-110.804438'))"
2021-02-07,West Pokot District,Unknown,620.9866730315097,Dry/Cold Season(July-August),Red locust (Nomadacris septemfasciata),Unknown,Laterite Soil,Entire Field,"(Decimal('42.3629845'), Decimal('59.720069'))"
2022-06-15,Mandera East District,Pasture and Grasslands,439.88518288126465,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Hoppers/Nymph(Breeding Ground),Loam Soil,Entire Area,"(Decimal('23.872103'), Decimal('-0.116280'))"
2023-05-22,Kwale District,Pasture and Grasslands,785.704730244992,Dry/Cold Season(July-August),Spur Throated Locusts,Unknown,Unknown,Entire Field,"(Decimal('47.872980'), Decimal('52.473055'))"
2020-12-10,Kirinyaga Central District,Fruit Orchards,9.308726336367078,Dry/Hot Season(January-March),Bombay Locust ( Nomadacris succincta),Fledglings(Young Adults),Alluvial Soil,Paddock Only,"(Decimal('-16.5895395'), Decimal('113.167212'))"
2023-11-11,Kuria East District,Vegetable Crops,269.31376658098384,Dry/Cold Season(July-August),Desert Locusts(Schistocerca gregaria),Adults,Alluvial Soil,Unknown,"(Decimal('-22.9720705'), Decimal('-89.253567'))"
2022-03-31,Kericho District,Fruit Orchards,793.7778656573727,Dry/Warm Season(September-October),Unknown,Eggs(Breeding Ground),Peat Soil,Paddock Only,"(Decimal('-80.7379415'), Decimal('-149.080247'))"
2022-04-24,Homa Bay District,Pasture and Grasslands,299.552092885069,Wet Season/Short Rains(November-December),Desert Locusts(Schistocerca gregaria),Adults,Clay Soil,Paddock Only,"(Decimal('-64.295995'), Decimal('-99.245988'))"
2021-01-13,Marani District,Unknown,664.2883224069784,Short Rains/Wet Season(April-June),Grasshoppers,Fledglings(Young Adults),Alluvial Soil,Paddock Only,"(Decimal('-38.8013825'), Decimal('-116.512565'))"
2021-10-07,Bungoma South District,Pasture and Grasslands,576.5617654000753,Wet Season/Long Rains(April-June),Grasshoppers,Eggs(Breeding Ground),Clay Soil,Unknown,"(Decimal('67.4456385'), Decimal('-48.605539'))"
2020-07-30,Meru Central District,Fruit Orchards,832.4470526178591,Wet Season/Long Rains(April-June),Migratory locust (Locusta migratoria),Adults,Laterite Soil,Entire Area,"(Decimal('16.189618'), Decimal('168.332429'))"
2023-12-29,Kirinyaga West District,Fruit Orchards,706.9583382481692,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Eggs(Breeding Ground),Alluvial Soil,Unknown,"(Decimal('3.1412275'), Decimal('-96.135588'))"
2020-02-15,Kiambu East District,Fruit Orchards,614.3354658053373,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Hoppers/Nymph(Breeding Ground),Alluvial Soil,Unknown,"(Decimal('-78.0767545'), Decimal('-55.422614'))"
2020-02-08,Wajir South District,Vegetable Crops,429.0429016389398,Dry/Warm Season(September-October),Desert Locusts(Schistocerca gregaria),Fledglings(Young Adults),Loose Sandy Soil,Unknown,"(Decimal('-85.422400'), Decimal('103.264687'))"
2021-04-04,Baringo Central District,Staple Crops,793.1390479889226,Wet Season/Long Rains(April-June),Bombay Locust ( Nomadacris succincta),Adults,Loose Sandy Soil,Entire Field,"(Decimal('83.0311075'), Decimal('44.015592'))"
2023-05-16,Mandera Central District,Unknown,215.27888979186298,Dry/Cold Season(July-August),Bombay Locust ( Nomadacris succincta),Unknown,Alluvial Soil,Entire Area,"(Decimal('42.226971'), Decimal('120.603437'))"
2022-03-24,Nyandarua West District,Vegetable Crops,768.261111292259,Dry/Warm Season(September-October),Migratory locust (Locusta migratoria),Fledglings(Young Adults),Alluvial Soil,Unknown,"(Decimal('-28.6054145'), Decimal('-173.502052'))"
2023-06-13,Taveta District,Staple Crops,22.63275109665967,Wet Season/Long Rains(April-June),Grasshoppers,Hoppers/Nymph(Breeding Ground),Peat Soil,Paddock Only,"(Decimal('84.595446'), Decimal('-101.935666'))"
2021-03-14,Nyandarua South District,Fruit Orchards,523.7763031765936,Dry/Cold Season(July-August),Spur Throated Locusts,Eggs(Breeding Ground),Alluvial Soil,Paddock Only,"(Decimal('-3.720145'), Decimal('126.606313'))"
2020-04-27,Wareng District,Unknown,717.1658587593429,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Unknown,Laterite Soil,Entire Field,"(Decimal('-50.4070855'), Decimal('56.924731'))"
2021-04-14,Kyuso District,Pasture and Grasslands,919.2318706817571,Dry/Cold Season(July-August),Red locust (Nomadacris septemfasciata),Fledglings(Young Adults),Loam Soil,Entire Field,"(Decimal('52.6433355'), Decimal('99.150703'))"
2020-04-25,Tana River District,Unknown,734.2457465177761,Dry/Cold Season(July-August),Grasshoppers,Hoppers/Nymph(Breeding Ground),Unknown,Unknown,"(Decimal('54.2353545'), Decimal('-157.106669'))"
2022-11-05,Kinango District,Staple Crops,697.6461867073951,Wet Season/Short Rains(November-December),Red locust (Nomadacris septemfasciata),Hoppers/Nymph(Breeding Ground),Loam Soil,Paddock Only,"(Decimal('-32.686807'), Decimal('25.719392'))"
2020-10-24,Mbeere North District,Unknown,332.34288422591015,Short Rains/Wet Season(April-June),Desert Locusts(Schistocerca gregaria),Adults,Unknown,Entire Field,"(Decimal('-83.4249225'), Decimal('153.995650'))"
2023-06-28,Thika East District,Pasture and Grasslands,614.2430990886234,Dry/Warm Season(September-October),Tree locust (Anacridium sp.),Adults,Unknown,Entire Field,"(Decimal('-80.3128005'), Decimal('-111.245340'))"
2020-08-08,Nyamira District,Vegetable Crops,773.5800088220939,Short Rains/Wet Season(April-June),Migratory locust (Locusta migratoria),Hoppers/Nymph(Breeding Ground),Loose Sandy Soil,Unknown,"(Decimal('-89.621153'), Decimal('69.020220'))"
2020-06-22,Teso South District,Vegetable Crops,73.20754427632842,Short Rains/Wet Season(April-June),Grasshoppers,Fledglings(Young Adults),Clay Soil,Entire Field,"(Decimal('5.958793'), Decimal('-41.662074'))"
2021-04-15,Rongo District,Pasture and Grasslands,663.5650790324313,Wet Season/Short Rains(November-December),Grasshoppers,Unknown,Laterite Soil,Entire Area,"(Decimal('-9.866481'), Decimal('16.317020'))"
